0,40.425653981
1,40.55578384
2,40.978573241
3,39.9196265277
4,39.2166978303
5,38.48581973535
6,37.9022244032
7,37.5502857506
8,37.426568132999996
9,36.477302777999995
10,35.739235645
11,34.258491152999994
12,33.142208332
13,32.789889364
14,33.455966272
15,34.3541296134
16,33.2953700296
17,32.024386875999994
18,31.669799925000003
19,31.109674115000004
20,30.586175132999998
21,30.839023468
22,31.467453798
23,31.173673523999998
24,30.682258587999996
25,30.829575202000004
26,31.51373713
27,31.798843458
28,32.3044031715
29,32.925056934
30,33.509889042
31,33.91176278
32,34.453322660000005
33,33.653117837399996
34,35.421958071999995
35,35.82302714
36,35.650866045
37,34.187198442
38,32.505645548
39,31.270717562
40,32.978946299
41,34.532706835
42,34.784645759
43,32.735500839
44,32.11241971
45,33.9035938103
46,34.802760079500004
47,34.1927836676
48,33.3331652715
49,34.281037144
50,34.223671976
51,34.743382884000006
52,34.872096817
53,35.213148710000006
54,37.180826319000005
55,35.031506384000004
56,35.86374888
57,37.804453828
58,37.421873039000005
59,35.796844165
60,35.483443564
61,35.965245020999994
62,37.653797544
63,38.787588016
64,37.710266516
65,36.133340387
66,34.4758165214
67,34.937678824
68,38.010804005
69,40.891067984
70,41.24125056
71,37.813837141
72,38.029286862
73,39.440880799
74,38.829662660000004
75,38.819980204
76,37.906680460299995
77,37.7718205273
78,38.409350911000004
79,38.999854234000004
80,37.503986896
81,38.1679721535
82,39.878993335000004
83,38.672020351
84,39.267900652
85,39.236798518
86,38.486496972
87,39.0211553845
88,38.331936494000004
89,37.29564186
90,37.418634064
91,37.828719856999996
92,38.9091173964
93,39.925799253
94,39.415905374000005
95,39.0854565773
96,38.727867733
97,38.5507859576
98,38.577190453
99,38.7586776255
