date,0
2013-12-19,60.17
2013-12-20,60.0
2014-03-11,60.0
2014-03-14,63.0
2014-03-17,65.0
2014-03-18,65.0
2014-03-19,66.0
2014-03-20,65.0
2014-03-21,63.0
2014-03-24,65.0
2014-03-25,60.0
2014-03-26,65.0
2014-03-27,60.0
2014-03-28,61.5
2014-03-31,60.0
2014-04-01,62.0
2014-04-08,60.8
2014-04-11,60.0
2014-04-14,61.8
2014-04-15,63.3
2014-04-16,60.0
2014-04-18,63.8
2014-04-21,62.0
2014-04-22,65.8
2014-04-23,61.0
2014-04-24,67.0
2014-04-25,71.6
2014-04-30,70.88
2014-05-04,68.2
2014-05-05,66.8
2014-05-08,62.1
2014-05-09,65.12
2014-05-14,67.8
2014-05-15,69.5
2014-05-16,71.2
2014-05-19,74.6
2014-05-20,77.0
2014-05-21,74.7
2014-05-22,73.0
2014-05-23,70.02
2014-05-28,63.02
2014-05-29,65.18
2014-05-30,61.18
2014-06-03,63.5
2014-06-05,66.33
2014-06-06,60.0
2014-06-09,62.5
2014-06-10,63.5
2014-06-11,65.16
2014-06-13,66.82
2014-06-16,63.32
2014-06-17,60.28
2014-06-18,60.22
2014-06-19,63.0
2014-06-20,63.51
2014-06-23,65.35
2014-06-24,67.52
2014-06-25,68.66
2014-06-26,71.0
2014-06-27,68.0
2014-06-30,62.41
2014-07-01,58.0
2014-07-02,59.54
2014-07-03,61.58
2014-07-04,67.68
2014-07-07,60.91
2014-07-08,57.88
2014-07-09,55.0
2014-07-10,50.6
2014-07-11,46.5
2014-07-12,46.02
2014-07-13,50.5
2014-07-14,46.0
2014-07-15,44.99
2014-07-16,44.35
2014-07-18,44.14
2014-07-23,48.55
2014-07-24,53.41
2014-07-25,58.75
2014-07-28,64.63
2014-07-29,58.17
2014-08-01,63.99
2014-08-04,57.84
2014-08-05,60.0
2014-08-06,54.0
2014-08-07,48.99
2014-08-08,52.12
2014-08-11,50.85
2014-08-12,50.96
2014-08-13,51.65
2014-08-14,50.79
2014-08-15,52.07
2014-08-18,52.01
2014-08-20,48.5
2014-08-22,43.65
2014-09-02,43.0
2014-09-11,38.7
2014-10-08,34.83
2014-10-09,31.35
2014-10-13,28.52
2014-10-14,26.5
2014-10-15,26.65
2014-10-16,25.2
2014-10-17,26.9
2014-10-21,26.1
2014-10-22,24.89
2014-10-23,23.8
2014-10-27,26.0
2014-10-30,26.0
2014-11-05,26.0
2014-11-06,26.0
2014-11-07,26.0
2014-11-13,26.0
2014-11-17,23.6
2014-11-18,24.16
2014-11-20,23.9
2014-11-24,22.6
2014-11-25,22.8
2014-11-28,21.0
2014-12-01,21.55
2014-12-02,20.55
2014-12-03,22.6
2014-12-04,24.19
2014-12-05,26.02
2014-12-09,27.8
2014-12-10,29.8
2014-12-11,31.6
2014-12-15,28.5
2014-12-16,28.2
2014-12-17,30.49
2014-12-18,32.6
2014-12-26,29.36
2014-12-29,32.21
2015-01-07,32.57
2015-01-08,29.36
2015-01-09,26.44
2015-01-12,23.8
2015-01-13,21.46
2015-01-16,20.6
2015-01-21,20.66
2015-01-28,20.66
2015-01-30,20.68
2015-02-02,20.69
2015-02-04,20.8
2015-02-06,20.8
2015-02-12,20.8
2015-02-26,20.8
2015-02-27,20.88
2015-03-03,20.88
2015-03-05,20.98
2015-03-06,20.98
2015-03-09,21.0
2015-03-10,20.89
2015-03-13,20.98
2015-03-16,20.7
2015-03-17,20.61
2015-03-18,20.2
2015-03-19,21.29
2015-03-20,23.31
2015-03-23,24.62
2015-03-24,26.2
2015-03-25,28.82
2015-03-26,29.58
2015-03-27,32.54
2015-03-30,29.89
2015-03-31,28.16
2015-04-01,30.98
2015-04-02,28.19
2015-04-03,31.01
2015-04-07,34.11
2015-04-08,30.7
2015-04-09,27.63
2015-04-10,24.87
2015-04-13,22.38
2015-04-14,20.14
2015-04-15,19.06
2015-04-16,20.97
2015-04-17,20.21
2015-04-20,18.19
2015-04-21,19.82
2015-04-22,21.8
2015-04-23,21.65
2015-04-24,23.82
2015-04-27,23.65
2015-04-28,26.02
2015-04-29,23.46
2015-04-30,25.81
2015-05-04,28.39
2015-05-05,29.98
2015-05-06,32.98
2015-05-11,29.68
2015-05-12,26.8
2015-05-15,24.2
2015-05-19,22.6
2015-05-20,23.52
2015-05-21,21.17
2015-05-22,19.06
2015-05-25,20.97
2015-05-26,19.1
2015-05-27,17.3
2015-05-28,17.0
2015-05-29,16.56
2015-06-01,18.22
2015-06-02,16.5
2015-06-03,17.66
2015-06-04,18.0
2015-06-08,19.8
2015-06-09,18.0
2015-06-10,17.71
2015-06-11,16.99
2015-06-12,17.87
2015-06-15,17.22
2015-06-16,17.72
2015-06-17,17.47
2015-06-18,18.17
2015-06-19,16.35
2015-06-23,14.72
2015-06-24,14.91
2015-06-25,15.49
2015-06-26,14.0
2015-06-29,15.28
2015-06-30,16.0
2015-07-01,15.5
2015-07-02,15.44
2015-07-03,15.5
2015-07-06,15.24
2015-07-07,16.0
2015-07-08,15.0
2015-07-09,15.99
2015-07-10,15.19
2015-07-13,15.52
2015-07-14,16.01
2015-07-15,16.01
2015-07-21,15.53
2015-07-22,15.84
2015-07-23,15.56
2015-07-24,16.42
2015-07-27,16.45
2015-07-28,16.45
2015-07-29,14.81
2015-07-30,15.14
2015-07-31,15.2
2015-08-03,16.3
2015-08-04,16.46
2015-08-05,16.5
2015-08-06,16.48
2015-08-12,16.18
2015-08-13,16.5
2015-08-14,16.5
2015-08-17,16.5
2015-08-18,15.72
2015-08-19,15.51
2015-08-20,16.41
2015-08-21,17.48
2015-08-24,18.27
2015-08-25,16.6
2015-08-26,16.08
2015-08-28,17.69
2015-08-31,19.4
2015-09-01,18.0
2015-09-02,16.2
