0,62.3244011244
1,62.087917625
2,60.121954345
3,59.246281851999996
4,58.228508837
5,58.410563053000004
6,58.8127185965
7,58.447486704
8,58.762006679
9,59.089331838
10,58.932612777500005
11,59.306707161300004
12,58.8848989166
13,58.2446887457
14,57.487956344
15,57.1234660723
16,57.5790498906
17,58.1209089837
18,58.549159911500006
19,59.390064267999996
20,60.874399626
21,62.349230189
22,64.288164194
23,67.364654776
24,71.053346307
25,71.74174975800001
26,71.44931869999999
27,71.940215466
28,73.294630098
29,73.8977962285
30,75.84567890299999
31,76.138012321
32,76.878712322
33,78.3329730034
34,78.131960146
35,77.371861196
36,75.822172423
37,74.618116438
38,80.494620645
39,83.19695747799999
40,74.645405216
41,76.411471101
42,80.242041495
43,82.13360799
44,81.604905818
45,81.110896507
46,79.493438986
47,79.395193726
48,79.92917357
49,81.286703789
50,82.071598882
51,81.147899441
52,79.22606312900001
53,77.557226552
54,79.11800158300001
55,81.08894701700001
56,80.531304262
57,80.146491547
58,79.828431269
59,80.761123786
60,81.05840811899999
61,80.894676742
62,81.2805181898
63,81.1778104512
64,81.76127129480001
65,81.887220728
66,82.296327979
67,82.64458723999999
68,82.9412462133
69,81.55393630740001
70,81.1571716058
71,81.186825964416
72,83.2476703718
73,82.92521152799999
74,82.593939995
75,82.699839464
76,81.38461648799999
77,81.245219651
78,81.4637292708
79,81.24442584399999
80,81.080570135
81,81.160466643
82,80.536479946
83,80.914342659
84,80.304704923
85,80.33453401850001
86,80.5614691055
87,80.40028046699999
88,80.7811695927
89,80.4384179653
90,80.443935062
91,80.1912492224
92,79.88776714299999
93,79.738398574
94,79.44337622100001
95,79.4529826253
96,79.224152762
97,78.752540261
98,78.022619654
99,77.74621846400001
