,co-imf0,co-imf1,co-imf2
0,0.1520054130029549,-9.80014445002991,69.81813903702695
1,0.4733435401241149,-10.298473093738824,69.82512955361472
2,-0.4474656407473302,-9.375101412885302,69.82256705363264
3,0.3126304594330177,-7.122981525486943,69.81035106605393
4,0.2963909890742922,-5.084772108925989,69.78838111985169
5,-0.4742197284196504,-4.282348337837879,69.75656806625754
6,0.7416130091529547,-4.456505523778531,69.71489251462557
7,-0.2814107063207289,-4.3820335666032015,69.66344427292393
8,-1.623031096957795,-4.97930652125193,69.60233761820972
9,2.0183081287513067,-6.549994956291297,69.53168682753999
10,-2.199052623635302,-7.252553554336471,69.45160617797177
11,2.0691020111614438,-6.431311957723597,69.36220994656216
12,-1.6742051736150472,-7.58940723675315,69.2636124103682
13,1.200331165126021,-8.856259011572977,69.15592784644696
14,-0.8543317585515676,-8.184938773303918,69.03927053185548
15,0.7311894200380579,-7.644944163688916,68.91375474365086
16,-0.1948674611854186,-7.784627297704682,68.77949475889008
17,-0.9601300521086784,-7.67647480252162,68.6366048546303
18,0.1279484979512875,-6.813147805879823,68.48519930792853
19,1.3089867455749489,-6.33437914141678,68.32539239584183
20,-1.4447129635803475,-6.71258543184688,68.15729839542723
21,1.6276431577344903,-5.808674741476363,67.98103158374187
22,-1.9310536715124789,-3.8656525663302697,67.79670623784276
23,2.2632936349126727,-4.067730269699617,67.60443663478695
24,-2.413908170036377,-3.990428881595112,67.4043370516315
25,0.7288623534207533,-0.925384118854252,67.19652176543349
26,1.9799005906812208,2.638994356068792,66.98110505324999
27,0.1200516803233592,4.001747127538609,66.75820119213803
28,-0.9886834727437752,2.6607590135890944,66.52792445915469
29,1.0405729316763614,-0.5309620630333742,66.29038913135702
30,-1.390056535603948,-2.555652950198143,66.04570948580209
31,1.1255683272429349,-1.799568126789869,65.79399979954694
32,1.509355104038982,0.7552705463123423,65.53537434964866
33,0.1044124502484452,4.125640136587252,65.2699474131643
34,-1.1965600553910292,7.398726788240111,64.99783326715092
35,-0.2915897636720791,10.172443575006525,64.71914618866555
36,0.8695739471237486,11.696425598110954,64.43400045476531
37,-0.908085837495586,11.465575494988418,64.14251034250717
38,0.0934664499978043,9.061743421053919,63.84479012894828
39,1.4188394477887127,5.060206461065605,63.54095409114568
40,-1.7475155679639238,1.5363990618075398,63.23111650615638
41,2.041048922876367,0.22355942608612622,62.91539165103751
42,-2.28855387240569,0.8746600695596247,62.59389380284607
43,-0.2279346729436737,1.4611901631565982,62.266744509787074
44,2.73640643506533,1.659499160277452,61.934094404657216
45,-2.983398024280863,1.3872966328797771,61.59610139140109
46,0.0383530092157352,1.2087236168209508,61.25292337396332
47,1.3138358811187358,1.281445862592772,60.90471825628849
48,2.9405507268405646,1.6678053308381742,60.55164394232126
49,4.161255791305657,2.464885872688133,60.19385833600621
50,-0.0817292154150592,3.570209874127065,59.831519341288
51,-4.047886433655876,4.8631015715447425,59.464784862111145
52,-4.987637596630864,6.113824794210539,59.093812802420324
53,-2.87415985776855,7.155398791608404,58.71876106616014
54,-2.591104726357044,7.761317169081816,58.339787557275216
55,-0.9010612909581808,8.294011111248029,57.95705017971015
56,1.472017171962981,8.477275990627469,57.570706837409546
57,2.896659901608753,8.582425217948199,57.18091488044305
58,5.750008730237743,8.462161826382037,56.78782944338023
59,3.359230925019524,8.249163968064835,56.39160510691564
60,-1.5392848445021776,7.956889009743393,55.99239583475878
61,-5.5625420091630975,7.972189349888833,55.59035265927426
62,-3.8821940291238777,8.236570312821177,55.18562371630271
63,-1.6717011868291538,8.473346545626093,54.77835464120306
64,5.116165417654879,8.195145272489004,54.36868930985613
65,-0.2068056942969556,7.160034429543172,53.95677126475378
66,-1.2643516922497222,5.601607643861849,53.542744048387874
67,-1.45397074691305,3.327219543662805,53.12675120325025
68,-3.22678357011536,1.117847298282622,52.70893627183274
69,-4.515020146364283,-1.2744226502629648,52.28944279662724
