date,close
2021-07-16,51.2300
2021-07-19,52.3000
2021-07-20,53.2800
2021-07-21,54.4000
2021-07-22,55.5200
2021-07-23,56.9700
2021-07-26,54.4600
2021-07-27,54.6300
2021-07-28,52.5000
2021-07-29,52.9600
2021-07-30,54.1700
2021-08-02,51.9900
2021-08-03,53.4400
2021-08-04,58.7000
2021-08-05,54.9000
2021-08-06,52.9600
2021-08-09,53.3200
2021-08-10,55.3200
2021-08-11,55.9000
2021-08-12,55.4300
2021-08-13,54.0000
2021-08-16,51.0000
2021-08-17,51.7600
2021-08-18,51.8700
2021-08-19,50.4900
2021-08-20,49.0000
2021-08-23,50.2000
2021-08-24,50.2000
2021-08-25,47.6400
2021-08-26,47.6400
2021-08-27,45.0900
2021-08-30,45.1600
2021-08-31,45.3500
2021-09-01,45.1900
2021-09-02,44.6600
2021-09-03,44.6700
2021-09-06,44.0000
2021-09-07,43.9000
2021-09-08,42.9000
2021-09-09,41.9900
2021-09-10,44.0000
2021-09-13,45.6200
2021-09-14,45.5400
2021-09-15,45.0000
2021-09-16,44.9400
2021-09-17,43.4300
2021-09-22,43.2400
2021-09-23,43.8500
2021-09-24,44.3600
2021-09-27,43.5900
2021-09-28,42.2200
2021-09-29,41.8400
2021-09-30,42.2100
2021-10-08,44.0800
2021-10-11,46.0300
2021-10-12,44.6700
2021-10-13,44.6800
2021-10-14,43.9600
2021-10-15,43.9000
2021-10-18,43.4400
2021-10-19,43.4300
2021-10-20,43.2400
2021-10-21,43.0300
2021-10-22,42.9900
2021-10-25,43.2400
2021-10-26,42.6500
2021-10-27,42.6100
2021-10-28,42.7700
2021-10-29,42.4100
2021-11-01,42.4500
2021-11-02,42.4300
2021-11-03,42.4000
2021-11-04,42.3300
2021-11-05,42.6900
2021-11-08,42.5800
2021-11-09,42.7300
2021-11-10,42.7400
2021-11-11,42.4900
2021-11-12,42.6600
2021-11-15,42.9300
2021-11-16,43.1600
2021-11-17,43.1200
2021-11-18,43.1600
2021-11-19,43.0500
2021-11-22,43.0500
2021-11-23,43.0600
2021-11-24,42.9600
2021-11-25,42.9600
2021-11-26,42.8500
2021-11-29,42.9200
2021-11-30,42.9500
2021-12-01,42.9700
2021-12-02,42.8800
2021-12-03,42.9400
2021-12-06,42.7900
2021-12-07,42.1300
2021-12-08,41.4600
2021-12-09,41.5600
2021-12-10,42.6900
2021-12-13,42.9500
2021-12-14,42.9300
2021-12-15,43.0600
2021-12-16,44.2200
2021-12-17,46.6600
2021-12-20,49.1800
2021-12-21,49.4900
2021-12-22,49.3900
2021-12-23,49.5700
2021-12-24,48.1300
2021-12-27,48.1300
2021-12-28,51.6900
2021-12-29,56.6400
2021-12-30,57.0600
2021-12-31,54.2200
2022-01-04,57.2900
2022-01-05,56.9400
2022-01-06,57.2600
2022-01-07,57.5900
2022-01-10,58.2800
2022-01-11,57.5200
2022-01-12,57.9900
2022-01-13,57.7500
2022-01-14,57.7700
2022-01-17,58.4800
2022-01-18,58.5000
2022-01-19,56.0000
2022-01-20,58.0000
2022-01-21,57.4600
2022-01-24,57.8700
2022-01-25,57.8300
2022-01-26,57.8800
2022-01-27,56.0000
2022-01-28,61.3800
2022-02-07,58.0800
2022-02-08,58.5000
2022-02-09,58.5000
2022-02-10,60.0000
2022-02-11,56.1500
2022-02-14,58.4100
2022-02-15,58.4000
2022-02-16,56.6000
2022-02-17,56.5000
2022-02-18,56.8800
2022-02-21,56.9900
2022-02-22,56.7800
2022-02-23,56.4900
2022-02-24,58.0000
2022-02-25,58.5300
2022-02-28,57.7400
2022-03-01,57.8000
2022-03-02,57.9000
2022-03-03,57.9000
2022-03-04,57.9000
2022-03-07,57.0400
2022-03-08,57.0000
2022-03-09,58.0000
2022-03-10,57.2600
2022-03-11,57.6000
2022-03-14,58.0000
2022-03-15,57.7700
2022-03-16,57.0000
2022-03-17,57.0000
2022-03-18,58.0000
2022-03-21,58.5000
2022-03-22,58.0000
2022-03-23,58.4000
2022-03-24,58.0100
2022-03-25,58.0000
2022-03-28,58.0000
2022-03-29,58.5000
2022-03-30,58.5000
2022-03-31,58.5500
2022-04-01,58.5000
2022-04-06,60.0000
2022-04-07,59.0000
2022-04-08,59.9900
2022-04-11,60.0000
2022-04-12,60.0000
2022-04-13,60.0000
2022-04-14,60.0000
2022-04-15,60.0000
2022-04-18,60.0000
2022-04-19,60.0000
2022-04-20,60.0000
2022-04-21,60.0000
2022-04-22,60.0000
2022-04-25,60.0000
2022-04-26,60.0000
2022-04-27,59.0000
2022-04-28,59.0000
2022-04-29,58.8000
2022-05-05,58.0000
2022-05-06,58.0000
2022-05-09,58.0000
2022-05-10,58.0000
2022-05-11,58.0000
2022-05-12,58.0000
2022-05-13,58.0000
2022-05-16,58.0000
2022-05-17,58.0000
2022-05-18,58.0000
