,imf0,imf1,imf2,imf3,imf4,imf5,imf6,imf7,imf8,imf9
0,0.010683159447306911,-0.3671571636255365,0.14727454646629506,-0.10650055454224519,8.763040126173479,-24.436454840629676,-16.75442691567932,5.047056216714896,21.218974568773636,34.47751085690116
1,0.03738196660821703,-0.4340261104053513,0.14763691242384458,-0.11681192107316603,8.883451306369386,-24.552485105679487,-16.803026006037012,5.115644753687639,21.243609541977854,34.47862466212808
2,0.011984816554407442,-0.41029124927801763,0.14610969371831659,-0.16481836852599424,8.954063627228376,-24.626847898823733,-16.842179917386026,5.184180501901221,21.26805886077537,34.47973993383608
3,-0.022887505922720465,-0.3269375328042851,0.1334333182633108,-0.2458631649698204,8.966736150570997,-24.658507673657436,-16.871812246758182,5.252660063569084,21.292321920642284,34.48085667106677
4,-0.021150283789462744,-0.22524077595353056,0.10094339453051965,-0.34980840908761524,8.914148291806088,-24.64640399291055,-16.89194125541647,5.321080040904519,21.316398117054828,34.48197487286167
5,0.012789183467470848,-0.10811557916385708,0.04613317572596202,-0.4620950933821727,8.79089568229626,-24.589738876379723,-16.902686912436437,5.389437036121005,21.340286845489103,34.483094538262385
6,0.010754157134186417,0.053678790340609614,-0.004953316957958195,-0.5656908840547863,8.59281016834534,-24.488339735942986,-16.90418961093072,5.457727264334537,21.363987501421313,34.48421566631046
7,-0.05971569020272989,0.2586649982021012,-0.03189336384295099,-0.6431167095003533,8.316929463979012,-24.343063631659252,-16.896587974844028,5.525945171493145,21.38749948032757,34.485338256047484
8,-0.010655279171173202,0.3330334417717461,-0.06095955010797297,-0.6797704488953723,7.962006544559007,-24.155003767779135,-16.880019357907518,5.594083933331326,21.410822177684093,34.486462306515
9,0.0036433945638606434,0.41111260242770586,-0.08383591660855311,-0.6660675554905526,7.531342406207865,-23.92525334855317,-16.854620893073477,5.662136504804728,21.43395498896702,34.48758781675457
10,0.008819474357607285,0.42534636011088,-0.07040662227637791,-0.5943743163913191,7.030342459396065,-23.65490557823191,-16.820529713294153,5.730095840868929,21.456897309652486,34.488714785807794
11,-0.013214203005219971,0.41102107953149064,-0.0459236814138936,-0.4616614547883788,6.465268227851308,-23.34505366106595,-16.777882951521725,5.797954896479469,21.479648535216697,34.4898432127162
12,0.021117193838572388,0.33144855518487326,-0.05902528266899955,-0.27200496882425806,5.84318526023499,-22.99679080130583,-16.726817740708476,5.865706626591946,21.50220806113579,34.490973096521394
13,-0.009910125451188393,0.33489353573652864,-0.13020679194852972,-0.03752277228073424,5.1714038656399035,-22.611210203202152,-16.66747121380664,5.933343986161998,21.524575282885902,34.49210443626491
14,0.012524951834248227,0.31222075355326423,-0.25545225278982125,0.2219917879563145,4.457253577143154,-22.18940507100542,-16.599980503768435,6.000859930145133,21.546749595943233,34.493237230988335
15,-0.02225913613125565,0.32769192259749697,-0.36836615247895593,0.48047150168903013,3.708063927821927,-21.73246860896623,-16.524482743546105,6.068247413496927,21.568730395783938,34.49437147973323
16,0.02283413015204198,0.13612603006048493,-0.3436066907669183,0.7145675166297625,2.931164450753341,-21.24149402133515,-16.441115066091914,6.13549939117303,21.590517077884176,34.49550718154115
