date,close
2026/4/2,39.43
2026/4/1,39.43
2026/3/31,39.43
2026/3/30,39.43
2026/3/27,39.63
2026/3/26,38.49
2026/3/25,38.5
2026/3/24,38.5
2026/3/23,38.52
2026/3/20,38.51
2026/3/19,39.47
2026/3/18,38.99
2026/3/17,39.02
2026/3/16,39.5
2026/3/13,39.5
2026/3/12,39.49
2026/3/11,38.84
2026/3/10,39.48
2026/3/9,39
2026/3/6,39.26
2026/3/5,39
2026/3/4,39.01
2026/3/3,38.55
2026/3/2,39.46
2026/2/27,38.56
2026/2/26,38.35
2026/2/25,38.51
2026/2/24,39.03
2026/2/13,39.04
2026/2/9,43.1
2026/2/6,45.23
2026/2/5,44.7
2026/2/4,41.28
2026/2/3,39.36
2026/2/2,38.36
2026/1/30,39.11
2026/1/29,38.51
2026/1/28,38.29
2026/1/27,38
2026/1/26,37.94
2026/1/23,40.66
2026/1/22,39.57
2026/1/21,38.5
2026/1/20,38.35
2026/1/19,39.49
2026/1/16,39.49
2026/1/15,39.49
2026/1/14,38.08
2026/1/13,36.69
2026/1/12,39.76
2026/1/9,39.76
2026/1/8,39.76
2026/1/7,39.76
2026/1/6,40.45
2026/1/5,40.38
2025/12/31,39.9
2025/12/30,37.27
2025/12/29,39.05
2025/12/26,41.37
2025/12/25,40.81
2025/12/24,40.81
2025/12/23,39.18
2025/12/22,38.84
2025/12/19,39.5
2025/12/18,37.22
2025/12/17,39.15
2025/12/16,39.15
2025/12/15,39.15
2025/12/12,40.85
2025/12/11,39.88
2025/12/10,37.29
2025/12/9,38.33
2025/12/8,38.33
2025/12/5,39.7
2025/12/4,36.84
2025/12/3,40.46
2025/12/2,40.46
2025/12/1,40.46
2025/11/28,39.84
2025/11/27,36.23
2025/11/26,36.23
2025/11/25,34.64
2025/11/24,34.64
2025/11/21,34.64
2025/11/20,35.49
2025/11/19,32.58
2025/11/18,33.49
2025/11/17,34.13
2025/11/14,33.9
2025/11/13,34.7
2025/11/12,33.9
2025/11/11,31.46
2025/11/10,34.9
2025/11/7,34.9
2025/11/6,34.9
2025/11/5,34.29
2025/11/4,32.11
2025/11/3,32.09
2025/10/31,34.35
2025/10/30,32.54
2025/10/29,36.15
2025/10/28,36.15
2025/10/27,33.35
2025/10/24,35.48
2025/10/23,35.48
2025/10/22,35.04
2025/10/21,32.67
2025/10/20,34.41
2025/10/17,36.05
2025/10/16,35.96
2025/10/15,34.88
2025/10/14,32.54
2025/10/13,35.09
2025/10/10,32.91
2025/10/9,36.2
2025/9/30,36.2
2025/9/29,34.67
2025/9/26,35.5
2025/9/25,34.45
2025/9/22,33.13
2025/9/19,33.13
2025/9/18,30.13
2025/9/17,33.09
2025/9/16,36.77
2025/9/15,36.57
2025/9/12,36.57
2025/9/11,36.57
2025/9/10,35.1
2025/9/9,31.96
2025/9/8,34.99
2025/9/5,34.99
2025/9/4,34.5
2025/9/3,35.44
2025/9/2,33.51
2025/9/1,31.88
2025/8/29,32.9
2025/8/28,36.54
2025/8/27,34.31
2025/8/26,31.89
2025/8/25,34.79
2025/8/22,34.79
2025/8/21,34.79
2025/8/20,34.79
2025/8/19,33.3
2025/8/18,31.12
2025/8/15,34.21
2025/8/14,32.73
2025/8/13,31.86
2025/8/12,29.05
2025/8/11,32.27
2025/8/8,35.48
2025/8/7,32.37
2025/8/6,32.05
2025/8/5,32.3
2025/8/4,32.05
2025/8/1,32.86
2025/7/31,33.04
2025/7/30,33.77
2025/7/29,32.97
2025/7/28,32.63
2025/7/25,32.95
2025/7/24,33.05
2025/7/23,32.96
2025/7/22,33
2025/7/21,33.18
2025/7/20,33.41
2025/7/19,33.44
2025/7/18,33.14
2025/7/17,33.38
2025/7/16,34.15
2025/7/15,35.94
2025/7/14,36.01
2025/7/13,35.99
2025/7/12,35.99
2025/7/11,36.82
2025/7/10,37.31
2025/7/9,36.61
2025/7/8,36.61
2025/7/7,38.17
2025/7/4,36.8
2025/7/3,36.38
2025/7/2,36.29
2025/7/1,36.45
2025/6/30,37.96
2025/6/27,37.22
2025/6/26,36.33
2025/6/25,36.32
2025/6/24,36.75
2025/6/23,36.06
2025/6/20,36.99
2025/6/19,37.03
2025/6/18,36.62
2025/6/17,36.87
2025/6/16,37.07
2025/6/13,37.01
2025/6/12,37
2025/6/11,37.02
2025/6/10,37.02
2025/6/9,37
2025/6/6,37.01
2025/6/5,37.01
2025/6/4,37.01
2025/6/3,37.13
2025/5/30,38.97
2025/5/29,37
2025/5/28,37
2025/5/27,37.07
2025/5/26,36.15
2025/5/23,37.28
2025/5/22,37.04
2025/5/21,37.03
2025/5/20,38.22
2025/5/19,38.22
2025/5/16,38.22
2025/5/15,38.22
2025/5/14,38.22
2025/5/13,38.22
2025/5/12,38.22
2025/5/9,38
2025/5/8,38
2025/5/7,37.97
2025/5/6,38.02
2025/4/30,38.07
2025/4/29,38.07
2025/4/28,38.04
2025/4/25,38.2
2025/4/24,38.82
2025/4/23,38.95
2025/4/22,39.66
2025/4/21,39.66
2025/4/18,40.31
2025/4/17,39.84
2025/4/16,39.84
2025/4/15,40
2025/4/14,41.77
2025/4/11,41.77
2025/4/10,40.09
2025/4/9,40.91
2025/4/8,40.9
2025/4/7,40.32
2025/4/3,43.88
2025/4/2,40.05
2025/4/1,39.3
2025/3/31,41.79
2025/3/28,40.01
2025/3/27,40.08
2025/3/26,40.07
2025/3/25,41.6
2025/3/24,41.13
2025/3/21,39.48
2025/3/20,38.58
2025/3/19,39
2025/3/18,38.8
2025/3/17,38.46
2025/3/14,40.6
2025/3/13,37.83
2025/3/12,37.64
2025/3/11,37.88
2025/3/10,37.45
2025/3/7,39.26
2025/3/6,39.26
2025/3/5,39.26
2025/3/4,39.26
2025/3/3,39.26
2025/2/28,39.26
2025/2/27,40.7
2025/2/26,37.66
2025/2/25,38.03
2025/2/24,38.03
2025/2/21,38.81
2025/2/20,37.52
2025/2/19,37.81
2025/2/18,38.21
2025/2/17,42.44
2025/2/14,42.44
2025/2/13,42.44
2025/2/12,39.9
2025/2/11,40.23
2025/2/10,37.82
2025/2/7,38.02
2025/2/6,38.02
2025/2/5,38.34
2025/1/27,39.47
2025/1/24,39.47
2025/1/23,39.47
2025/1/22,39.47
2025/1/21,39.47
2025/1/20,37.67
2025/1/17,37.08
2025/1/16,37.61
2025/1/15,37.61
2025/1/14,37.61
2025/1/13,37.61
2025/1/10,38.09
2025/1/9,38.09
2025/1/8,38.01
2025/1/7,38.56
2025/1/6,40.69
2025/1/3,40.69
2025/1/2,38.6
2024/12/31,38.09
2024/12/30,41.83
2024/12/27,41.23
2024/12/26,40.57
2024/12/25,38.62
2024/12/24,38.6
2024/12/23,38.05
2024/12/20,37
2024/12/19,38.26
2024/12/18,40.25
2024/12/17,44.53
2024/12/16,44.53
2024/12/13,42.29
2024/12/12,38.58
2024/12/11,38.22
